start	end	text
1045400	1046400	Продолжение следует...
1046400	1047400	Продолжение следует...
1047400	1048400	Продолжение следует...
1048400	1049400	Продолжение следует...
1049400	1050400	Продолжение следует...
1050400	1051400	Продолжение следует...
1051400	1052400	Продолжение следует...
1052400	1053400	Продолжение следует...
1053400	1054400	Продолжение следует...
1054400	1055400	Продолжение следует...
1055400	1056400	Продолжение следует...
1056400	1057400	Продолжение следует...
1057400	1058400	Продолжение следует...
1058400	1059400	Продолжение следует...
1059400	1060400	Продолжение следует...
1060400	1061400	Продолжение следует...
1061400	1062400	Продолжение следует...
1062400	1063400	Продолжение следует...
1063400	1064400	Продолжение следует...
1064400	1065400	Продолжение следует...
1065400	1066400	Продолжение следует...
1066400	1067400	Продолжение следует...
1067400	1068400	Продолжение следует...
1068400	1069400	Продолжение следует...
1069400	1070400	!
1070400	1071400	Продолжение следует...
1071400	1072400	Продолжение следует...
1072400	1073400	Продолжение следует...
1073400	1074400	Продолжение следует...
1074400	1075400	Продолжение следует...
1075400	1076400	Продолжение следует...
1076400	1077400	Продолжение следует...
1077400	1078400	Продолжение следует...
1078400	1079400	Продолжение следует...
1079400	1080400	Продолжение следует...
1080400	1081400	Продолжение следует...
1081400	1082400	Продолжение следует...
1082400	1083400	Продолжение следует...
1083400	1084400	Продолжение следует...
1084400	1085400	Продолжение следует...
1085400	1086400	Продолжение следует...
1086400	1087400	Продолжение следует...
1087400	1088400	Продолжение следует...
1088400	1089400	Продолжение следует...
1089400	1090400	Продолжение следует...
1090400	1091400	Продолжение следует...
1091400	1092400	Продолжение следует...
1092400	1093400	Продолжение следует...
1093400	1094400	Продолжение следует...
1094400	1095400	!
1095400	1096400	Продолжение следует...
1096400	1097400	Продолжение следует...
1097400	1098400	Продолжение следует...
1098400	1099400	Продолжение следует...
1099400	1100400	Продолжение следует...
1100400	1101400	Продолжение следует...
1101400	1102400	Продолжение следует...
1102400	1103400	Продолжение следует...
1103400	1104400	Продолжение следует...
1104400	1105400	Продолжение следует...
1105400	1106400	Продолжение следует...
1106400	1107400	Продолжение следует...
1107400	1108400	Продолжение следует...
1108400	1109400	Продолжение следует...
1109400	1110400	Продолжение следует...
1110400	1111400	Продолжение следует...
1111400	1112400	Продолжение следует...
1112400	1113400	Продолжение следует...
1113400	1114400	Продолжение следует...
1114400	1115400	Продолжение следует...
1115400	1116400	Продолжение следует...
1116400	1117400	Продолжение следует...
1117400	1118400	Продолжение следует...
1118400	1119400	Продолжение следует...
1119400	1120400	!
1120400	1121400	Продолжение следует...
1121400	1122400	Продолжение следует...
1122400	1123400	Продолжение следует...
1123400	1124400	Продолжение следует...
1124400	1125400	Продолжение следует...
1125400	1126400	Продолжение следует...
1126400	1127400	Продолжение следует...
1127400	1128400	Продолжение следует...
1128400	1129400	Продолжение следует...
1129400	1130400	Продолжение следует...
1130400	1131400	Продолжение следует...
1131400	1132400	Продолжение следует...
1132400	1133400	Продолжение следует...
1133400	1134400	Продолжение следует...
1134400	1135400	Продолжение следует...
1135400	1136400	Продолжение следует...
1136400	1137400	Продолжение следует...
1137400	1138400	Продолжение следует...
1138400	1139400	Продолжение следует...
1139400	1140400	Продолжение следует...
1140400	1141400	Продолжение следует...
1141400	1142400	Продолжение следует...
1142400	1143400	Продолжение следует...
1143400	1144400	Продолжение следует...
1144400	1145400	!
1145400	1146400	Продолжение следует...
1146400	1147400	Продолжение следует...
1147400	1148400	Продолжение следует...
1148400	1149400	Продолжение следует...
1149400	1150400	Продолжение следует...
1150400	1151400	Продолжение следует...
1151400	1152400	Продолжение следует...
1152400	1153400	Продолжение следует...
1153400	1154400	Продолжение следует...
1154400	1155400	Продолжение следует...
1155400	1156400	Продолжение следует...
1156400	1157400	Продолжение следует...
1157400	1158400	Продолжение следует...
1158400	1159400	Продолжение следует...
1159400	1160400	Продолжение следует...
1160400	1161400	Продолжение следует...
1161400	1162400	Продолжение следует...
1162400	1163400	Продолжение следует...
1163400	1164400	Продолжение следует...
1164400	1165400	Продолжение следует...
1165400	1166400	Продолжение следует...
1166400	1167400	Продолжение следует...
1167400	1168400	Продолжение следует...
1168400	1169400	Продолжение следует...
1169400	1170400	!
1170400	1171400	Продолжение следует...
1171400	1178400	Продолжение следует...
1178400	1179400	Продолжение следует...
1179400	1180400	Продолжение следует...
1180400	1181400	Продолжение следует...
1181400	1182400	Продолжение следует...
1182400	1183400	Продолжение следует...
1183400	1184400	Продолжение следует...
1184400	1185400	Продолжение следует...
1185400	1186400	Продолжение следует...
1186400	1187400	Продолжение следует...
1187400	1188400	Продолжение следует...
1188400	1189400	Продолжение следует...
1189400	1190400	Продолжение следует...
1190400	1191400	Продолжение следует...
1191400	1192400	Продолжение следует...
1192400	1193400	Продолжение следует...
1193400	1194400	Продолжение следует...
1194400	1195400	Продолжение следует...
1195400	1196400	Продолжение следует...
1196400	1197400	Продолжение следует...
1197400	1198400	Продолжение следует...
1198400	1199400	Продолжение следует...
1199400	1200400	Продолжение следует...
1200400	1200400	
1200400	1201400	Продолжение следует...
1201400	1202400	Продолжение следует...
1202400	1203400	Продолжение следует...
1203400	1204400	Продолжение следует...
1204400	1205400	Продолжение следует...
1205400	1206400	Продолжение следует...
1206400	1207400	Продолжение следует...
1207400	1208400	Продолжение следует...
1208400	1209400	Продолжение следует...
1209400	1210400	Продолжение следует...
1210400	1211400	Продолжение следует...
1211400	1212400	Продолжение следует...
1212400	1213400	Продолжение следует...
1213400	1214400	Продолжение следует...
1214400	1215400	Продолжение следует...
1215400	1216400	Продолжение следует...
1216400	1217400	Продолжение следует...
1217400	1218400	Продолжение следует...
1218400	1219400	Продолжение следует...
1219400	1220400	Продолжение следует...
1220400	1221400	Продолжение следует...
1221400	1222400	Продолжение следует...
1222400	1223400	Продолжение следует...
1223400	1224400	Продолжение следует...
1224400	1225400	Продолжение следует...
1225400	1226400	Продолжение следует...
1226400	1227400	Продолжение следует...
1227400	1228400	Продолжение следует...
1228400	1229400	Продолжение следует...
1229400	1230400	Продолжение следует...
1230400	1230400	
1230400	1231400	Продолжение следует...
1231400	1232400	Продолжение следует...
1232400	1233400	Продолжение следует...
1233400	1234400	Продолжение следует...
1234400	1235400	Продолжение следует...
1235400	1236400	Продолжение следует...
1236400	1237400	Продолжение следует...
1237400	1238400	Продолжение следует...
1238400	1239400	Продолжение следует...
1239400	1240400	Продолжение следует...
1240400	1241400	Продолжение следует...
1241400	1242400	Продолжение следует...
1242400	1243400	Продолжение следует...
1243400	1244400	Продолжение следует...
1244400	1245400	Продолжение следует...
1245400	1246400	Продолжение следует...
1246400	1247400	Продолжение следует...
1247400	1248400	Продолжение следует...
1248400	1249400	Продолжение следует...
1249400	1250400	Продолжение следует...
1250400	1251400	Продолжение следует...
1251400	1252400	Продолжение следует...
1252400	1253400	Продолжение следует...
1253400	1254400	Продолжение следует...
1254400	1255400	Продолжение следует...
1255400	1256400	Продолжение следует...
1256400	1257400	Продолжение следует...
1257400	1258400	Продолжение следует...
1258400	1259400	Продолжение следует...
1259400	1260400	Продолжение следует...
1260400	1261400	Продолжение следует...
1261400	1262400	Продолжение следует...
1262400	1263400	Продолжение следует...
1263400	1264400	Продолжение следует...
1264400	1265400	Продолжение следует...
1265400	1266400	Продолжение следует...
1266400	1267400	Продолжение следует...
1267400	1268400	Продолжение следует...
1268400	1269400	Продолжение следует...
1269400	1270400	Продолжение следует...
1270400	1271400	Продолжение следует...
1271400	1273400	Продолжение следует...
1273400	1274400	Продолжение следует...
1274400	1275400	Продолжение следует...
1275400	1276400	Продолжение следует...
1276400	1277400	Продолжение следует...
1277400	1278400	Продолжение следует...
1278400	1279400	Продолжение следует...
1279400	1280400	Продолжение следует...
1280400	1281400	Продолжение следует...
1281400	1282400	Продолжение следует...
1282400	1283400	Продолжение следует...
1283400	1284400	Продолжение следует...
1284400	1285400	Продолжение следует...
1285400	1286400	Продолжение следует...
1286400	1287400	Продолжение следует...
1287400	1288400	Продолжение следует...
1288400	1289400	Продолжение следует...
1289400	1290400	Продолжение следует...
1290400	1291400	Продолжение следует...
1291400	1292400	Продолжение следует...
1292400	1293400	Продолжение следует...
1293400	1294400	Продолжение следует...
1294400	1295400	Продолжение следует...
1295400	1296400	Продолжение следует...
1296400	1297400	Продолжение следует...
1297400	1298400	Продолжение следует...
1298400	1299400	Продолжение следует...
1299400	1300400	Продолжение следует...
1300400	1301400	Продолжение следует...
1301400	1302400	Продолжение следует...
1302400	1303400	Продолжение следует...
1303400	1304400	Продолжение следует...
1304400	1305400	Продолжение следует...
1305400	1306400	Продолжение следует...
1306400	1307400	Продолжение следует...
1307400	1308400	Продолжение следует...
1308400	1309400	Продолжение следует...
1309400	1310400	Продолжение следует...
1310400	1311400	Продолжение следует...
1311400	1312400	Продолжение следует...
1312400	1313400	Продолжение следует...
1313400	1314400	Продолжение следует...
1314400	1315400	Продолжение следует...
1315400	1316400	Продолжение следует...
1316400	1317400	Продолжение следует...
1317400	1318400	Продолжение следует...
1318400	1319400	Продолжение следует...
1319400	1320400	Продолжение следует...
1320400	1321400	Продолжение следует...
1321400	1322400	Продолжение следует...
1322400	1323400	Продолжение следует...
1323400	1324400	Продолжение следует...
1324400	1325400	Продолжение следует...
1325400	1326400	Продолжение следует...
1326400	1327400	Продолжение следует...
1327400	1328400	Продолжение следует...
1328400	1329400	Продолжение следует...
1329400	1330400	Продолжение следует...
1330400	1331400	Продолжение следует...
1331400	1332400	Продолжение следует...
1332400	1333400	Продолжение следует...
1333400	1334400	Продолжение следует...
1334400	1335400	Продолжение следует...
1335400	1336400	Продолжение следует...
1336400	1337400	Продолжение следует...
1337400	1338400	Продолжение следует...
1338400	1339400	Продолжение следует...
1339400	1340400	Продолжение следует...
1340400	1341400	Продолжение следует...
1341400	1342400	Продолжение следует...
1342400	1343400	Продолжение следует...
1343400	1344400	Продолжение следует...
1344400	1345400	Продолжение следует...
1345400	1346400	Продолжение следует...
1346400	1347400	Продолжение следует...
1347400	1348400	Продолжение следует...
1348400	1349400	Продолжение следует...
1349400	1350400	Продолжение следует...
1350400	1351400	Продолжение следует...
1351400	1352400	Продолжение следует...
1352400	1353400	Продолжение следует...
1353400	1354400	Продолжение следует...
1354400	1355400	Продолжение следует...
1355400	1356400	Продолжение следует...
1356400	1357400	Продолжение следует...
1357400	1358400	Продолжение следует...
1358400	1359400	Продолжение следует...
1359400	1360400	Продолжение следует...
1360400	1361400	Продолжение следует...
1361400	1362400	Продолжение следует...
1362400	1363400	Продолжение следует...
1363400	1364400	Продолжение следует...
1364400	1365400	Продолжение следует...
1365400	1366400	Продолжение следует...
1366400	1367400	Продолжение следует...
1367400	1368400	Продолжение следует...
1368400	1369400	Продолжение следует...
1369400	1370400	Продолжение следует...
1370400	1371400	Продолжение следует...
1371400	1372400	Продолжение следует...
1372400	1373400	Продолжение следует...
1373400	1374400	Продолжение следует...
1374400	1375400	Продолжение следует...
1375400	1376400	Продолжение следует...
1376400	1377400	Продолжение следует...
1377400	1378400	Продолжение следует...
1378400	1379400	Продолжение следует...
1379400	1380400	Продолжение следует...
1380400	1381400	Продолжение следует...
1381400	1382400	Продолжение следует...
1382400	1383400	Продолжение следует...
1383400	1384400	Продолжение следует...
1384400	1385400	Продолжение следует...
1385400	1386400	Продолжение следует...
1386400	1387400	Продолжение следует...
1387400	1388400	Продолжение следует...
1388400	1389400	Продолжение следует...
1389400	1390400	Продолжение следует...
1390400	1391400	Продолжение следует...
1391400	1392400	Продолжение следует...
1392400	1393400	Продолжение следует...
1393400	1394400	Продолжение следует...
1394400	1395400	Продолжение следует...
1395400	1396400	Продолжение следует...
1396400	1397400	Продолжение следует...
1397400	1398400	Продолжение следует...
1398400	1399400	Продолжение следует...
1399400	1400400	Продолжение следует...
1400400	1401400	Продолжение следует...
1401400	1402400	Продолжение следует...
1402400	1403400	Продолжение следует...
1403400	1404400	Продолжение следует...
1404400	1405400	Продолжение следует...
1405400	1406400	Продолжение следует...
1406400	1407400	Продолжение следует...
1407400	1408400	Продолжение следует...
1408400	1409400	Продолжение следует...
1409400	1410400	Продолжение следует...
1410400	1411400	Продолжение следует...
1411400	1412400	Продолжение следует...
1412400	1413400	Продолжение следует...
1413400	1414400	Продолжение следует...
1414400	1415400	Продолжение следует...
1415400	1416400	Продолжение следует...
1416400	1417400	Продолжение следует...
1417400	1418400	Продолжение следует...
1418400	1419400	Продолжение следует...
1419400	1420400	Продолжение следует...
1420400	1421400	Продолжение следует...
1421400	1422400	Продолжение следует...
1422400	1423400	Продолжение следует...
1423400	1424400	Продолжение следует...
1424400	1425400	Продолжение следует...
1425400	1426400	Продолжение следует...
1426400	1427400	Продолжение следует...
1427400	1428400	Продолжение следует...
1428400	1429400	Продолжение следует...
1429400	1430400	Продолжение следует...
1430400	1431400	Продолжение следует...
1431400	1432400	Продолжение следует...
1432400	1433400	Продолжение следует...
1433400	1434400	Продолжение следует...
1434400	1435400	Продолжение следует...
1435400	1436400	Продолжение следует...
1436400	1437400	Продолжение следует...
1437400	1438400	Продолжение следует...
1438400	1439400	Продолжение следует...
1439400	1440400	Продолжение следует...
1440400	1441400	Продолжение следует...
1441400	1442400	Продолжение следует...
1442400	1443400	Продолжение следует...
1443400	1444400	Продолжение следует...
1444400	1445400	Продолжение следует...
1445400	1446400	Продолжение следует...
1446400	1447400	Продолжение следует...
1447400	1448400	Продолжение следует...
1448400	1449400	Продолжение следует...
1449400	1450400	Продолжение следует...
1450400	1451400	Продолжение следует...
1451400	1452400	Продолжение следует...
1452400	1453400	Продолжение следует...
1453400	1454400	Продолжение следует...
1454400	1455400	Продолжение следует...
1455400	1456400	Продолжение следует...
1456400	1457400	Продолжение следует...
1457400	1458400	Продолжение следует...
1458400	1459400	Продолжение следует...
1459400	1460400	Продолжение следует...
1460400	1461400	Продолжение следует...
1461400	1462400	Продолжение следует...
1462400	1463400	Продолжение следует...
1463400	1464400	Продолжение следует...
1464400	1465400	Продолжение следует...
1465400	1466400	Продолжение следует...
1466400	1467400	Продолжение следует...
1467400	1468400	Продолжение следует...
1468400	1469400	Продолжение следует...
1469400	1470400	Продолжение следует...
1470400	1471400	Продолжение следует...
1471400	1472400	Продолжение следует...
1472400	1473400	Продолжение следует...
1473400	1474400	Продолжение следует...
1474400	1475400	Продолжение следует...
1475400	1476400	Продолжение следует...
1476400	1477400	Продолжение следует...
1477400	1478400	Продолжение следует...
1478400	1479400	Продолжение следует...
1479400	1480400	Продолжение следует...
1480400	1481400	Продолжение следует...
1481400	1482400	Продолжение следует...
1482400	1483400	Продолжение следует...
1483400	1484400	Продолжение следует...
1484400	1485400	Продолжение следует...
1485400	1486400	Продолжение следует...
1486400	1487400	Продолжение следует...
1487400	1488400	Продолжение следует...
1488400	1489400	Продолжение следует...
1489400	1490400	Продолжение следует...
1490400	1491400	Продолжение следует...
1491400	1492400	Продолжение следует...
1492400	1493400	Продолжение следует...
1493400	1494400	Продолжение следует...
1494400	1495400	Продолжение следует...
1495400	1496400	Продолжение следует...
1496400	1497400	Продолжение следует...
1497400	1498400	Продолжение следует...
1498400	1499400	Продолжение следует...
1499400	1500400	Продолжение следует...
1500400	1501400	Продолжение следует...
1501400	1502400	Продолжение следует...
1502400	1503400	Продолжение следует...
1503400	1504400	Продолжение следует...
1504400	1505400	Продолжение следует...
1505400	1506400	Продолжение следует...
1506400	1507400	Продолжение следует...
1507400	1508400	Продолжение следует...
1508400	1509400	Продолжение следует...
1509400	1510400	Продолжение следует...
1510400	1511400	Продолжение следует...
1511400	1512400	Продолжение следует...
1512400	1513400	Продолжение следует...
1513400	1514400	Продолжение следует...
1514400	1515400	Продолжение следует...
1515400	1516400	Продолжение следует...
1516400	1517400	Продолжение следует...
1517400	1518400	Продолжение следует...
